epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,134.259,2.23197,1.74928,1.04561,0.4799,0.45571,0.42565,0.2596,2.27474,1.64392,1.07639,0.000660045,0.000660045,0.000660045
43,137.1,2.20917,1.73494,1.05828,0.5155,0.42935,0.42162,0.25568,2.27062,1.65193,1.07031,0.000649046,0.000649046,0.000649046
44,139.876,2.25728,1.74812,1.06591,0.52437,0.43482,0.42861,0.25497,2.27196,1.64164,1.06959,0.000638047,0.000638047,0.000638047
45,142.653,2.27617,1.73684,1.05912,0.51717,0.4439,0.42641,0.25417,2.28626,1.63422,1.07421,0.000627048,0.000627048,0.000627048
46,145.506,2.26155,1.70745,1.04712,0.51717,0.4439,0.42641,0.25417,2.28626,1.63422,1.07421,0.000616049,0.000616049,0.000616049
47,148.417,2.30398,1.70688,1.05162,0.50987,0.44795,0.42822,0.25726,2.28904,1.6107,1.07556,0.000605051,0.000605051,0.000605051
48,151.396,2.29756,1.70126,1.05229,0.51233,0.43567,0.42705,0.26553,2.27403,1.58221,1.07498,0.000594052,0.000594052,0.000594052
49,154.859,2.3037,1.70278,1.04078,0.50661,0.43602,0.4318,0.26496,2.28704,1.58508,1.07358,0.000583053,0.000583053,0.000583053
50,158.374,2.25054,1.60661,1.03644,0.50719,0.42413,0.43193,0.25969,2.31183,1.59395,1.07708,0.000572054,0.000572054,0.000572054
51,161.301,2.25048,1.63142,1.06357,0.50045,0.44148,0.42581,0.25482,2.28841,1.56418,1.07451,0.000561055,0.000561055,0.000561055
52,164.764,2.20941,1.56032,1.02098,0.48581,0.44094,0.42121,0.25551,2.27698,1.55739,1.07021,0.000550056,0.000550056,0.000550056
53,168.163,2.18255,1.61352,1.03608,0.46505,0.44849,0.41584,0.26171,2.26653,1.5587,1.06302,0.000539057,0.000539057,0.000539057
54,171.438,2.26912,1.61995,1.05211,0.46505,0.44849,0.41584,0.26171,2.26653,1.5587,1.06302,0.000528058,0.000528058,0.000528058
55,174.314,2.25084,1.5923,1.03601,0.47421,0.45217,0.42428,0.26582,2.25685,1.55238,1.06108,0.000517059,0.000517059,0.000517059
56,177.199,2.21167,1.66933,1.06304,0.47933,0.45143,0.42548,0.26733,2.24443,1.53978,1.06357,0.00050606,0.00050606,0.00050606
57,180.681,2.20624,1.60747,1.02949,0.4937,0.45863,0.43032,0.2693,2.23943,1.53028,1.06884,0.000495062,0.000495062,0.000495062
58,183.674,2.21482,1.56965,1.03731,0.47752,0.4689,0.43452,0.26523,2.24882,1.53127,1.07244,0.000484063,0.000484063,0.000484063
59,186.442,2.18298,1.62243,1.04693,0.48555,0.47324,0.44021,0.26154,2.26339,1.52922,1.07514,0.000473064,0.000473064,0.000473064
60,189.427,2.2056,1.56714,1.03279,0.49053,0.47653,0.44381,0.26191,2.24639,1.51839,1.07179,0.000462065,0.000462065,0.000462065
61,192.339,2.19322,1.64261,1.03144,0.50325,0.47216,0.44329,0.26554,2.23535,1.51387,1.07271,0.000451066,0.000451066,0.000451066
62,195.248,2.1838,1.57669,1.01986,0.50325,0.47216,0.44329,0.26554,2.23535,1.51387,1.07271,0.000440067,0.000440067,0.000440067
63,198.157,2.204,1.56308,1.02412,0.50098,0.47515,0.44276,0.27053,2.24673,1.51627,1.07443,0.000429068,0.000429068,0.000429068
64,200.975,2.15738,1.59505,1.02749,0.50262,0.46996,0.44604,0.27641,2.2481,1.52106,1.07766,0.000418069,0.000418069,0.000418069
65,203.976,2.19634,1.54242,1.04713,0.52543,0.46246,0.45263,0.28704,2.23989,1.50185,1.08349,0.00040707,0.00040707,0.00040707
66,206.916,2.19507,1.52087,1.0319,0.52419,0.47662,0.45789,0.28916,2.22956,1.47978,1.08487,0.000396071,0.000396071,0.000396071
